Part Num,Gender,Age,SES,Reside,Student,UCLATOT,SRP-IIITOT,SRPIII-IPM,SRPIII-CA,SRPIII-ELS,SANUTOT,N4UTOT,N4U-1,N4U-2,N4U-3,DBTOT,ABSTAIN,Property,Vandalism,Violent,Serious Delinquency
236,2,19,1,1,1,34,1.9375,2.0625,1.75,2,9,95,48,26,21,0,1,0,0,0,0
237,2,20,3,1,1,72,1.541666667,1.75,1.625,1.25,7,64,32,20,12,0,1,0,0,0,0
238,2,20,4,1,1,34,2.416666667,3.1875,2.25,1.8125,16,111,59,30,22,0,1,0,0,0,0
239,2,21,4,1,1,50,2.666666667,2.25,2.625,3.125,15,112,61,31,20,0,1,0,0,0,0
240,2,19,3,1,1,44,2.979166667,2.6875,2.9375,3.3125,8,91,41,34,16,2,0,0,0,0,0
241,2,19,7,1,1,40,2.041666667,2.125,1.5,2.5,9,86,44,26,16,1,1,0,0,0,0
242,2,20,2,1,1,44,2.541666667,2.625,2.125,2.875,8,85,36,32,17,0,1,0,0,0,0
243,2,19,4,1,1,50,2.041666667,1.9375,2.0625,2.125,8,104,55,26,23,0,1,0,0,0,0
244,2,20,2,1,1,29,2.541666667,2.125,2,3.5,7,111,52,37,22,3,0,0,0,0,0
245,2,22,4,1,1,54,1.958333333,1.6875,1.75,2.4375,10,83,45,29,9,0,1,0,0,0,0
